y,x,osmid,highway,address,ref
1.3843236,103.900193,242950976,,"Punggol Road, Sengkang, Northeast, 542210, Singapore",
1.4162994,103.9095971,5277868866,,"Punggol Road, Punggol, Northeast, 822433, Singapore",
1.3909671,103.9015774,242950993,traffic_signals,"Sengkang East Way, Sengkang, Northeast, 540127, Singapore",
1.3919502,103.9125026,368927585,traffic_signals,"Blk 128C, Punggol Field Walk, Punggol, Northeast, 828740, Singapore",
1.3910755,103.9136226,368927583,traffic_signals,"Punggol East, Punggol, Northeast, 828753, Singapore",
1.3941835,103.9014832,369468292,traffic_signals,"Punggol Road, Punggol, Northeast, 543297, Singapore",
1.3952338,103.9170944,5686387591,,"Punggol Central, Punggol, Northeast, 820652, Singapore",
1.3951377,103.9169797,5686387595,,"Punggol Central, Punggol, Northeast, 828836, Singapore",
1.3840634,103.8902023,5252457373,traffic_signals,"Sengkang East Road, Sengkang, Northeast, 540281, Singapore",
1.4003058,103.8966835,3600770200,,"Tampines Expressway, Punggol, Northeast, 820212, Singapore",
1.4004388,103.8962338,3600770201,traffic_signals,"Punggol Way, Sengkang, Northeast, 542287, Singapore",
1.4186006,103.9035955,4002524011,,"Northshore Link, Punggol, Northeast, 824419, Singapore",
1.417336,103.9061618,5218821351,,"Northshore Crescent, Punggol, Northeast, 822411, Singapore",
1.4173752,103.9057151,5218821355,,"Punggol Way, Punggol, Northeast, 821410, Singapore",
1.3973962,103.9025279,135079149,motorway_junction,"299 MSCP, Tampines Expressway, Punggol, Northeast, 820136, Singapore",10
1.417418,103.906307,5218821356,,"Northshore Crescent, Punggol, Northeast, 822411, Singapore",
1.3940845,103.9014472,369468656,traffic_signals,"Punggol Road, Punggol, Northeast, 543297, Singapore",
1.4170808,103.906349,5218821360,,"Punggol Point, Punggol Way, Punggol, Northeast, 822433, Singapore",
1.4181046,103.906489,5218821362,,"Punggol, Northeast, 822411, Singapore",
1.4185359,103.9064074,5218821366,,"Punggol, Northeast, 822411, Singapore",
1.4188455,103.9068078,5218821367,,"Punggol, Northeast, 822411, Singapore",
1.4184772,103.9066477,5218821372,traffic_signals,"Northshore Crescent, Punggol, Northeast, 822411, Singapore",
1.4185515,103.9066794,5218821373,traffic_signals,"Northshore Crescent, Punggol, Northeast, 822411, Singapore",
1.3951674,103.9058425,135079181,motorway_junction,"188B, Tampines Expressway, Punggol, Northeast, 820136, Singapore",9
1.417205,103.906106,5218821390,,"Punggol Way, Punggol, Northeast, 821410, Singapore",
1.3996064,103.9053896,2274878780,,"Punggol Field, Punggol Cove, Punggol, Northeast, 820198, Singapore",
1.3875114,103.904787,4724598090,,"Rivervale Drive, Sengkang, Northeast, 540123, Singapore",
1.3998056,103.8980199,369173840,,"Tampines Expressway, Punggol, Northeast, 820212, Singapore",
1.4132632,103.9009328,5218788690,,"Punggol Way, Punggol, Northeast, 820401, Singapore",
1.4122174,103.9004688,5218788701,,"Punggol Way, Punggol, Northeast, 820327, Singapore",
1.4130451,103.9002703,5218788704,,"Seletar North Link, Punggol, Northeast, 824326, Singapore",
1.4131266,103.9002945,5218788705,,"Seletar North Link, Punggol, Northeast, 824326, Singapore",
1.4221519,103.8885638,4604732771,,"Seletar North Link, Seletar, Singapore, Central, 821415, Singapore",
1.4165333,103.8936157,4604732781,,"Seletar North Link, Seletar, Singapore, Central, 821325, Singapore",
1.4161076,103.8936311,4604732785,,"Seletar Link, Seletar, Singapore, Central, 821325, Singapore",
1.4003965,103.8921205,135079306,,"Tampines Expressway, Sengkang, Northeast, 820223, Singapore",
1.4030163,103.8968148,4598834586,,"Punggol Way, Sengkang, Northeast, 820106, Singapore",
1.3817543,103.9034783,1913644442,traffic_signals,"Sengkang East Avenue, Sengkang, Northeast, 544811, Singapore",
1.3849154,103.9200366,6089860518,motorway_junction,"Halus Link, Punggol, Northeast, 828869, Singapore",
1.3868941,103.899892,5898659260,traffic_signals,"Compassvale Lane, Sengkang, Northeast, 541227, Singapore",
1.3869149,103.8998397,5898659261,traffic_signals,"Compassvale Lane, Sengkang, Northeast, 541227, Singapore",
1.386837,103.8998153,5898659263,traffic_signals,"Compassvale Lane, Sengkang, Northeast, 541227, Singapore",
1.3996777,103.8967884,135079396,,"Tampines Expressway, Punggol, Northeast, 544288, Singapore",
1.3953684,103.8992134,3063326188,,"Compassvale Crescent, Sengkang, Northeast, 541292, Singapore",
1.4132747,103.9114299,5863220853,,"Punggol Coast Road, Punggol, Northeast, 821446, Singapore",
1.4133076,103.9112395,5863220855,,"New Punggol Road, Punggol, Northeast, 821446, Singapore",
1.3991104,103.9000306,369174139,,"Punggol Crest, 210, Punggol Place, Punggol, Northeast, 820210, Singapore",
1.3969357,103.9042598,369174181,,"Blk 104A, Tampines Expressway, Punggol, Northeast, 820136, Singapore",
1.3885341,103.9079886,6497953524,,"Arulmigu Velmurugan Muneeswarar Temple, 50, Rivervale Crescent, Punggol, Northeast, 542163, Singapore",
1.388493,103.9079819,6497953525,,"157A, Rivervale Crescent, Punggol, Northeast, 542163, Singapore",
1.3887108,103.9075348,6497953526,,"164, Rivervale Crescent, Punggol, Northeast, 540164, Singapore",
1.3886701,103.9075047,6497953527,,"Punggol, Northeast, 540164, Singapore",
1.3921459,103.9054033,369469280,traffic_signals,"Rumbia, Rivervale Drive, Punggol, Northeast, 540151, Singapore",
1.4002906,103.9098166,4697941870,,"Punggol Central, Punggol, Northeast, 828850, Singapore",
1.4004414,103.9098412,4697941873,,"Punggol Spectra, 622D, Punggol Central, Punggol, Northeast, 824622, Singapore",
1.3972484,103.9038324,369174479,traffic_signals,"Punggol Road, Punggol, Northeast, 820136, Singapore",
1.3918212,103.8978996,242952212,traffic_signals,"Sengkang East Way, Sengkang, Northeast, 540239, Singapore",
1.3922607,103.8966823,242952222,,"Sengkang East Way, Sengkang, Northeast, 542257, Singapore",
1.3932743,103.8937054,242952267,traffic_signals,"Sengkang East Way, Sengkang, Northeast, 545025, Singapore",
1.3924006,103.9067473,5921941613,,"185B, Rivervale Crescent, Punggol, Northeast, 540151, Singapore",
1.3923667,103.9067128,5921941614,,"150, Rivervale Crescent, Rivervale Green, Punggol, Northeast, 540150, Singapore",
1.3961264,103.9040452,369174639,,"189A, Tampines Expressway, Punggol, Northeast, 820136, Singapore",
1.390199,103.8994928,3133450363,,"236, Compassvale Walk, Sengkang, Northeast, 540236, Singapore",
1.3934247,103.8936212,369141917,traffic_signals,"Sengkang East Way, Sengkang, Northeast, 542261, Singapore",
1.418622,103.9063845,5278410926,,"Punggol, Northeast, 822411, Singapore",
1.4114499,103.89802,3905775803,traffic_signals,"Sumang Walk, Punggol, Northeast, 820322, Singapore",
1.4115539,103.8980616,3905775805,traffic_signals,"Sumang Link, Punggol, Northeast, 822323, Singapore",
1.3957157,103.8944025,3063326914,,"Sengkang East Road, Sengkang, Northeast, 544625, Singapore",
1.397018,103.8909219,369158350,traffic_signals,"Anchorvale Street, Sengkang, Northeast, 542330, Singapore",
1.4163632,103.9096091,5742340349,,"Punggol Road, Punggol, Northeast, 822433, Singapore",
1.4021207,103.8946471,4002523403,traffic_signals,"Matilda Edge, 222, Sumang Lane, Sengkang, Northeast, 820222, Singapore",
1.4021336,103.8945524,4002523404,traffic_signals,"Sumang Walk, Sengkang, Northeast, 822217, Singapore",
1.4026587,103.8910089,4002523407,traffic_signals,"Sumang Crescent, Sengkang, Northeast, 822232, Singapore",
1.3904233,103.8898068,4715292959,,"319A, Anchorvale Drive, Sengkang, Northeast, 541319, Singapore",
1.39613,103.8945619,369158458,traffic_signals,"Sengkang East Road, Sengkang, Northeast, 544625, Singapore",
1.4005488,103.9146219,2274879836,,"Edgedale Plains, Punggol, Northeast, 823635, Singapore",
1.4159952,103.9058255,1749002699,,"Bridges Montessori Kindergarten, Punggol Seventeenth Avenue, Punggol, Northeast, 829645, Singapore",
1.3948797,103.8990991,1848076757,traffic_signals,"Compassvale Street, Sengkang, Northeast, 540256, Singapore",
1.3952407,103.8992132,5178419688,,"Compassvale Crescent, Sengkang, Northeast, 541292, Singapore",
1.395234,103.8991291,5178419689,,"Compassvale Crescent, Sengkang, Northeast, 541292, Singapore",
1.4062012,103.8952353,4598671860,,"Punggol, Northeast, 821256, Singapore",
1.406436,103.8955874,4598671863,,"Punggol, Northeast, 821256, Singapore",
1.4065392,103.8956921,4598671864,,"Punggol Central, Punggol, Northeast, 821256, Singapore",
1.4069497,103.8953735,4598671867,,"Punggol, Northeast, 821256, Singapore",
1.4027527,103.8991207,4598671868,,"Punggol Field, Punggol, Northeast, 821269, Singapore",
1.4029522,103.899555,4598671872,,"Punggol Sapphire, 270A, Punggol Field, Punggol, Northeast, 821270, Singapore",
1.4025167,103.8998156,4598671873,,"Punggol Residences, 272D, Punggol Walk, Punggol, Northeast, 824272, Singapore",
1.4029134,103.8996769,4598671877,,"Punggol Residences, 272C, Punggol Walk, Punggol, Northeast, 823272, Singapore",
1.4026042,103.8990886,4598671878,,"Punggol Walk, Punggol, Northeast, 821269, Singapore",
1.4021912,103.8992737,4598671882,,"Punggol Walk, Punggol, Northeast, 821269, Singapore",
1.4023008,103.8998756,4598671883,,"Punggol Field, Punggol, Northeast, 821211, Singapore",
1.402237,103.8993808,4598671886,,"Punggol Field, Punggol, Northeast, 821211, Singapore",
1.4018214,103.9021965,4598671888,,"Punggol Field, Punggol, Northeast, 822273, Singapore",
1.4030466,103.8966423,4702038545,,"Punggol Way, Sengkang, Northeast, 820122, Singapore",
1.403343,103.8964105,4702038548,,"Punggol Field, Punggol, Northeast, 822258, Singapore",
1.4034183,103.8964235,4702038549,,"Punggol Field, Punggol, Northeast, 822258, Singapore",
1.4036165,103.8967475,4702038552,,"Punggol Way, Punggol, Northeast, 822258, Singapore",
1.4002941,103.9153469,2274880033,,"Punggol, Northeast, 822638, Singapore",
1.4007152,103.9088292,2274880055,,"Edgefield Plains, Punggol, Northeast, 828710, Singapore",
1.3933843,103.8937421,369142425,traffic_signals,"Sengkang East Way, Sengkang, Northeast, 542261, Singapore",
1.400443,103.9146847,2274880184,,"Edgedale Plains, Punggol, Northeast, 821638, Singapore",
1.4006592,103.9092798,2274880197,,"Punggol Central, Punggol, Northeast, 828850, Singapore",
1.4041333,103.8912024,4002523905,traffic_signals,"Sumang Crescent, Sengkang, Northeast, 822228, Singapore",
1.3795144,103.9207979,135080726,motorway_junction,"Tampines Expressway, Punggol, Northeast, 520175, Singapore",6
1.4005812,103.9088758,2274880313,,"Blk 193, Edgefield Plains, Punggol, Northeast, 828710, Singapore",
1.4016806,103.9018035,4598672192,,"Punggol Field, Punggol, Northeast, 822273, Singapore",
1.4015174,103.9017357,4598672193,,"Masjid Al-Islah, 30, Punggol Field, Punggol, Northeast, 828812, Singapore",
1.4011768,103.90181,4598672197,,"Punggol Sails, 208B, Punggol Place, Punggol, Northeast, 822208, Singapore",
1.4011516,103.9019164,4598672198,,"Punggol Field, Punggol, Northeast, 828812, Singapore",
1.4012639,103.9022935,4598672202,,"Punggol Field, Punggol, Northeast, 828812, Singapore",
1.4013854,103.9023476,4598672203,,"Blk 289A, Punggol Field, Punggol, Northeast, 828812, Singapore",
1.4017861,103.9022654,4598672207,,"Punggol Place, Punggol, Northeast, 821273, Singapore",
1.4057109,103.9006951,4598672221,,"A Treasure Trove, 56, Punggol Walk, Punggol, Northeast, 820056, Singapore",
1.4056398,103.9007845,4598672225,,"Punggol Walk, Punggol, Northeast, 822272, Singapore",
1.4057898,103.901183,4598672229,,"Waterway Point, 83, Punggol Central, Punggol, Northeast, 828763, Singapore",
1.4164123,103.900662,4002524006,,"Northshore Waterfront, 413A, Northshore Drive, Punggol, Northeast, 821413, Singapore",
1.3897938,103.8973354,4478315384,traffic_signals,"Sengkang Square, Sengkang, Northeast, 544757, Singapore",
1.3897214,103.8973126,4478315385,traffic_signals,"Sengkang Square, Sengkang, Northeast, 544757, Singapore",
1.4041235,103.8912845,4598672255,traffic_signals,"Punggol Field, Sengkang, Northeast, 822228, Singapore",
1.3897254,103.8974595,4478315386,,"Compassvale Walk, Sengkang, Northeast, 540241, Singapore",
1.3905793,103.9015424,3063311296,,"Punggol Road, Sengkang, Northeast, 540232, Singapore",
1.3904766,103.8963366,3063311303,,"Sengkang, Northeast, 544705, Singapore",
1.3923013,103.9146504,369175543,traffic_signals,"Punggol Field, Punggol, Northeast, 828811, Singapore",
1.3952698,103.9167883,369175567,traffic_signals,"Punggol East, Punggol, Northeast, 820652, Singapore",
1.4060895,103.9009545,1167567948,traffic_signals,"Punggol Walk, Punggol, Northeast, 820073, Singapore",
1.4092217,103.9022787,1167567951,traffic_signals,"Sentul Crescent, Punggol, Northeast, 821313, Singapore",
1.4091209,103.9022329,1167567954,traffic_signals,"Sumang Link, Punggol, Northeast, 821313, Singapore",
1.4065003,103.9010845,1167567959,,"Punggol Walk, Punggol, Northeast, 820073, Singapore",
1.4059966,103.9011352,1167567983,,"Waterway Point, 73, Punggol Central, Punggol, Northeast, 820073, Singapore",
1.4108128,103.8996971,1167567993,traffic_signals,"Sumang Link, Punggol, Northeast, 821312, Singapore",
1.4105349,103.9001992,1167567994,,"Punggol ParcVista, 312A, Sumang Link, Punggol, Northeast, 821312, Singapore",
1.4107265,103.8996556,1167568001,traffic_signals,"Punggol Way, Punggol, Northeast, 821312, Singapore",
1.4104553,103.9001284,1167568000,,"Sumang Link, Punggol, Northeast, 821312, Singapore",
1.3903062,103.8959067,3063311502,,"Sengkang, Northeast, 544705, Singapore",
1.390069,103.8965883,3063311560,,"Sengkang Square, Sengkang, Northeast, 544755, Singapore",
1.389758,103.8972179,242953527,traffic_signals,"27, Compassvale Road, Sengkang, Northeast, 544757, Singapore",
1.3901059,103.8962076,242953528,traffic_signals,"Sengkang Square, Sengkang, Northeast, 544755, Singapore",
1.390863,103.8940238,242953529,traffic_signals,"Sengkang Square, Sengkang, Northeast, 542216, Singapore",
1.3912131,103.8930012,242953530,traffic_signals,"Sengkang East Road, Sengkang, Northeast, 545015, Singapore",
1.4007812,103.9093751,2274880832,,"Punggol Central, Punggol, Northeast, 828850, Singapore",
1.3865048,103.9074024,242937156,traffic_signals,"Sengkang East Way, Punggol, Northeast, 540170, Singapore",
1.3863914,103.907458,242937176,traffic_signals,"Sengkang East Way, Punggol, Northeast, 540170, Singapore",
1.4158927,103.9003244,4000099726,,"Northshore Walk, Punggol, Northeast, 820405, Singapore",
1.3879454,103.8969696,3865151150,,"Compassvale Drive, Sengkang, Northeast, 541223, Singapore",
1.3880804,103.8963329,3865151153,,"Compassvale Drive, Sengkang, Northeast, 544749, Singapore",
1.3881736,103.8963114,3865151154,,"Compassvale Drive, Sengkang, Northeast, 544751, Singapore",
1.3931923,103.9133432,411102660,,"Blk 128B, Punggol Field, Punggol, Northeast, 828815, Singapore",
1.392289,103.914456,411102666,traffic_signals,"Punggol East, Punggol, Northeast, 828811, Singapore",
1.3921945,103.9145753,411102673,traffic_signals,"Punggol East, Punggol, Northeast, 828811, Singapore",
1.4044809,103.9038275,411102677,traffic_signals,"Punggol Central, Punggol, Northeast, 828724, Singapore",
1.398153,103.913025,411102684,traffic_signals,"Edgedale Plains, Punggol, Northeast, 821053, Singapore",
1.4008596,103.914581,2274881012,,"Punggol Drive, Punggol, Northeast, 823635, Singapore",
1.3962307,103.8942372,3063328275,,"Anchorvale Street, Sengkang, Northeast, 544625, Singapore",
1.3904927,103.8964406,3063311912,,"Sengkang, Northeast, 544756, Singapore",
1.4010518,103.9087462,2274881112,,"Punggol Central, Punggol, Northeast, 828710, Singapore",
1.3980674,103.9070194,4698074724,,"Punggol Cove, Punggol, Northeast, 820198, Singapore",
1.3984727,103.9068999,4698074728,,"Punggol Field, Punggol Cove, Punggol, Northeast, 820198, Singapore",
1.3980253,103.9073965,4698074729,,"Punggol Meridian, Punggol, Northeast, 820198, Singapore",
1.3979492,103.9070516,4698074733,,"Blk 107A, Edgefield Plains, Punggol Meridian, Punggol, Northeast, 820198, Singapore",
1.398564,103.907458,4698074734,,"Edgefield Plains, Punggol, Northeast, 820100, Singapore",
1.3981835,103.9075169,4698074738,,"Edgefield Plains, Punggol, Northeast, 820100, Singapore",
1.4064628,103.897064,5181566596,,"Punggol Central, Punggol, Northeast, 821261, Singapore",
1.4068171,103.897665,5181566599,,"Punggol Way, Punggol, Northeast, 821314, Singapore",
1.4174388,103.9042128,368930446,,"Punggol Seventeenth Avenue, Punggol, Northeast, 823408, Singapore",
1.4155865,103.9053203,368930452,,"Punggol Seventeenth Avenue, Punggol, Northeast, 829645, Singapore",
1.4012536,103.9092274,2274881206,,"Edgefield Plains, Punggol, Northeast, 828850, Singapore",
1.390727,103.9030975,3063312093,,"Saint Anne's Wood, Sengkang, Northeast, 545271, Singapore",
1.396485,103.8946975,3063328486,,"Sengkang East Road, Sengkang, Northeast, 544624, Singapore",
1.3965125,103.8948271,3063328509,,"Sengkang East Road, Sengkang, Northeast, 540294, Singapore",
1.4011585,103.9088331,2274881282,,"Punggol Central, Punggol, Northeast, 828710, Singapore",
1.3953869,103.9166314,368897810,traffic_signals,"Punggol East, Punggol, Northeast, 820652, Singapore",
1.4042313,103.8912973,4853608215,traffic_signals,"Sumang Crescent, Sengkang, Northeast, 822228, Singapore",
1.4026408,103.8911379,4853608216,traffic_signals,"Matilda Court, 232A, Sumang Lane, Sengkang, Northeast, 821232, Singapore",
1.4040974,103.89148,4853608217,,"Punggol Field, Sengkang, Northeast, 822228, Singapore",
1.4039593,103.8912703,4853608219,,"Sumang Crescent, Sengkang, Northeast, 822228, Singapore",
1.4012078,103.9093156,2274881314,,"Punggol Secondary School, 51, Edgefield Plains, Punggol, Northeast, 828870, Singapore",
1.4233183,103.8862716,3444600665,,"Seletar North Link, Seletar, Singapore, Central, 821415, Singapore",
1.3855538,103.9030073,377646952,traffic_signals,"Rivervale Plaza, Rivervale Lane, Sengkang, Northeast, 542123, Singapore",
1.3910934,103.9010239,3063312269,,"Sengkang East Way, Sengkang, Northeast, 546639, Singapore",
1.3980923,103.9128445,368897966,traffic_signals,"Edgedale Plains, Punggol, Northeast, 821053, Singapore",
1.3912017,103.8941392,3063312306,,"Sengkang, Northeast, 542216, Singapore",
1.3912072,103.8933002,3063312313,,"Kopitiam Square, 10, Sengkang Square, Sengkang, Northeast, 544829, Singapore",
1.3883582,103.89672,3865151259,,"31, Compassvale Road, Sengkang, Northeast, 544759, Singapore",
1.4152816,103.9040598,4604732761,,"Punggol, Northeast, 829645, Singapore",
1.3927356,103.9139104,5218349037,,"Punggol Field, Punggol, Northeast, 828740, Singapore",
1.392869,103.9132952,5218349044,,"Punggol, Northeast, 828815, Singapore",
1.3931018,103.9134577,5218349048,,"Punggol Field Walk, Punggol, Northeast, 828815, Singapore",
1.3918116,103.9125084,5218349065,traffic_signals,"Punggol Field Walk, Punggol, Northeast, 828750, Singapore",
1.3918931,103.9125736,5218349066,traffic_signals,"Punggol Field Walk, Punggol, Northeast, 828750, Singapore",
1.3909562,103.9135268,5218349080,traffic_signals,"Punggol East, Punggol, Northeast, 828749, Singapore",
1.391871,103.9124364,5218349081,traffic_signals,"Punggol Field Walk, Punggol, Northeast, 828750, Singapore",
1.4167073,103.8936787,3089297465,,"Seletar North Link, Seletar, Singapore, Central, 821325, Singapore",
1.39258,103.9148429,3593810028,,"Punggol East, Punggol, Northeast, 828811, Singapore",
1.3920941,103.9149076,3593810031,,"Punggol Field, Punggol, Northeast, 828811, Singapore",
1.3919941,103.914858,3593810032,,"Bright Hill Evergreen Home, 100, Punggol Field, Punggol, Northeast, 828811, Singapore",
1.3919642,103.9144359,3593810035,,"Punggol East, Punggol, Northeast, 828811, Singapore",
1.4184061,103.9033772,5218807952,,"Punggol, Northeast, 824409, Singapore",
1.4183327,103.9036332,5218807955,,"Punggol, Northeast, 824409, Singapore",
1.4183292,103.9037396,5218807956,,"Punggol, Northeast, 824409, Singapore",
